course,completed,status,passed,total,lap_time,pass_times,timed_out,idle_timed_out,elapsed_wall_s,race_summary,trace,log,frames
circular_arc,False,DNF,2,4,16.00,"5.54,6.86,--,--",False,False,369.0,"sim [RACE] course=circular_arc gates_passed=2/4 lap_time=16.00s status=DNF pass_times=[5.54,6.86,--,--]",/Users/matthewhutchinson/dev/cs260c-project/logs/elodin_hard_track_results/circular_arc/trace.csv,/Users/matthewhutchinson/dev/cs260c-project/logs/elodin_hard_track_results/circular_arc/editor.log,/Users/matthewhutchinson/dev/cs260c-project/logs/elodin_hard_track_results/circular_arc/frames
s_curve,False,DNF,1,5,16.00,"4.95,--,--,--,--",False,False,137.0,"sim [RACE] course=s_curve gates_passed=1/5 lap_time=16.00s status=DNF pass_times=[4.95,--,--,--,--]",/Users/matthewhutchinson/dev/cs260c-project/logs/elodin_hard_track_results/s_curve/trace.csv,/Users/matthewhutchinson/dev/cs260c-project/logs/elodin_hard_track_results/s_curve/editor.log,/Users/matthewhutchinson/dev/cs260c-project/logs/elodin_hard_track_results/s_curve/frames
