profile,course,rows,next_gate_visible_pct,lookahead_visible_pct,next_gate_abs_bearing_h_p95_deg,lookahead_abs_bearing_h_p95_deg
vq1_pinhole,arc_rand_000,456.0,100.0,99.78070175438597,7.538104907693798,14.127440009373244
vq1_pinhole,arc_rand_001,546.0,100.0,99.81684981684981,8.020592666973466,16.728025737593658
vq1_pinhole,arc_rand_002,546.0,100.0,99.81684981684981,12.97745108787851,23.067057284486033
vq1_pinhole,arc_rand_003,546.0,100.0,99.81684981684981,11.83853990666234,12.496208620586328
vq1_pinhole,arc_rand_004,456.0,94.73684210526315,99.56140350877193,34.01229305712276,29.337760274727195
vq1_pinhole,arc_rand_005,456.0,95.39473684210526,99.78070175438597,28.581426652305986,17.87861928704249
vq1_pinhole,arc_rand_006,546.0,96.88644688644689,99.45054945054946,12.524356063489057,19.834906681691244
vq1_pinhole,arc_rand_007,546.0,98.71794871794873,99.81684981684981,8.981600452801516,17.414721589557008
vq1_pinhole,circular_arc,456.0,98.02631578947368,99.78070175438597,10.897342136600937,18.551235163110256
vq1_pinhole,easy,366.0,96.99453551912568,99.72677595628416,36.73607711939519,26.331926486828937
vq1_pinhole,four_gate_straight,456.0,99.12280701754386,98.68421052631578,23.14879840226918,28.990983088800398
vq1_pinhole,hard_s_curve_rand_000,726.0,99.31129476584022,80.85399449035813,34.86771904525308,56.0100790013872
vq1_pinhole,hard_s_curve_rand_001,636.0,96.0691823899371,82.70440251572327,42.26261315205393,54.98191385486929
vq1_pinhole,hard_s_curve_rand_002,726.0,98.7603305785124,87.46556473829202,27.878393113735587,51.05300135117325
vq1_pinhole,hard_s_curve_rand_003,726.0,100.0,76.44628099173553,27.990248799290004,61.921426989276654
vq1_pinhole,hard_s_curve_rand_004,726.0,99.86225895316805,77.27272727272727,32.33356968922409,60.69477282131021
vq1_pinhole,hard_s_curve_rand_005,636.0,98.58490566037736,80.66037735849056,32.99712643570997,55.35709021621145
vq1_pinhole,hard_s_curve_rand_006,636.0,100.0,80.81761006289308,27.931563597123727,57.195017662989876
vq1_pinhole,hard_s_curve_rand_007,726.0,100.0,87.87878787878788,28.750549469483726,50.211082912578206
vq1_pinhole,lateral_soft,366.0,93.71584699453553,99.72677595628416,45.72405172766753,21.533401373896186
vq1_pinhole,low_high,366.0,98.08743169398907,99.72677595628416,11.268976886467666,13.799474280457591
vq1_pinhole,s_curve,546.0,100.0,99.81684981684981,17.995816528090852,25.69649684657062
vq1_pinhole,s_curve_rand_000,636.0,97.95597484276729,99.37106918238993,24.877741520911073,35.50565204525708
vq1_pinhole,s_curve_rand_001,636.0,97.48427672955975,99.84276729559748,24.72638039538239,32.03087583761985
vq1_pinhole,s_curve_rand_002,636.0,99.84276729559748,99.84276729559748,22.948563976815837,23.891699600581862
vq1_pinhole,s_curve_rand_003,636.0,100.0,99.84276729559748,35.89279783652164,33.83922925986839
vq1_pinhole,s_curve_rand_004,636.0,98.58490566037736,99.84276729559748,22.679173545490205,33.15546597515924
vq1_pinhole,s_curve_rand_005,546.0,100.0,99.81684981684981,11.531721007369784,16.815819144575457
vq1_pinhole,s_curve_rand_006,546.0,100.0,99.81684981684981,22.803104316576995,31.5832536235974
vq1_pinhole,s_curve_rand_007,546.0,97.43589743589743,99.81684981684981,20.002758768930224,26.051468364984665
vq1_pinhole,s_curve_rand_008,546.0,99.45054945054946,99.81684981684981,16.027649206036962,32.576941287258215
vq1_pinhole,s_curve_rand_009,546.0,99.81684981684981,96.88644688644689,26.28151676687135,43.0857883705581
vq1_pinhole,s_curve_rand_010,636.0,97.64150943396226,99.84276729559748,16.33435351377049,25.328411891417385
vq1_pinhole,s_curve_rand_011,546.0,99.26739926739927,99.81684981684981,19.058853773286828,24.387424762654184
gatenet_fisheye,arc_rand_000,456.0,100.0,99.78070175438597,7.538104907693798,14.127440009373244
gatenet_fisheye,arc_rand_001,546.0,100.0,99.81684981684981,8.020592666973466,16.728025737593658
gatenet_fisheye,arc_rand_002,546.0,100.0,99.81684981684981,12.97745108787851,23.067057284486033
gatenet_fisheye,arc_rand_003,546.0,100.0,99.81684981684981,11.83853990666234,12.496208620586328
gatenet_fisheye,arc_rand_004,456.0,99.12280701754386,99.78070175438597,34.01229305712276,29.337760274727195
gatenet_fisheye,arc_rand_005,456.0,99.78070175438597,99.78070175438597,28.581426652305986,17.87861928704249
